Date,High,Low,Open,Close,Volume,Adj Close
2017-12-18,73519.0,72621.0,72621.0,73115.0,3202900.0,73115.0
2017-12-19,73139.0,72347.0,73122.0,72680.0,2351600.0,72680.0
2017-12-20,73492.0,72680.0,72680.0,73367.0,2219600.0,73367.0
2017-12-21,75133.0,73265.0,73367.0,75133.0,3056400.0,75133.0
2017-12-22,75227.0,74623.0,75128.0,75187.0,1906900.0,75187.0
2017-12-26,75758.0,74924.0,75187.0,75688.0,1579700.0,75688.0
2017-12-27,76293.0,75708.0,75708.0,76073.0,1792200.0,76073.0
2017-12-28,76437.0,76077.0,76077.0,76402.0,2083000.0,76402.0
2017-12-29,76437.0,76077.0,76077.0,76402.0,0.0,76402.0
2018-01-02,77909.0,76403.0,76403.0,77891.0,2880300.0,77891.0
2018-01-03,78414.0,77602.0,77889.0,77995.0,3142200.0,77995.0
2018-01-04,79135.0,77998.0,77998.0,78647.0,3486100.0,78647.0
2018-01-05,79071.0,78218.0,78644.0,79071.0,2747100.0,79071.0
2018-01-08,79395.0,78631.0,79070.0,79379.0,2550800.0,79379.0
2018-01-09,79415.0,78699.0,79379.0,78864.0,3458600.0,78864.0
2018-01-10,78864.0,78164.0,78864.0,78201.0,2759900.0,78201.0
2018-01-11,79365.0,78201.0,78201.0,79365.0,3409400.0,79365.0
2018-01-12,79440.0,78861.0,79365.0,79349.0,3577800.0,79349.0
2018-01-15,79847.0,79349.0,79349.0,79752.0,1941000.0,79752.0
2018-01-16,80246.0,79668.0,79751.0,79832.0,2982500.0,79832.0
2018-01-17,81189.0,79828.0,79832.0,81189.0,3341200.0,81189.0
2018-01-18,81367.0,80498.0,81185.0,80963.0,3429600.0,80963.0
2018-01-19,81429.0,80854.0,80965.0,81220.0,3123200.0,81220.0
2018-01-22,81675.0,80923.0,81220.0,81675.0,2693000.0,81675.0
2018-01-23,81676.0,80524.0,81676.0,80678.0,3711200.0,80678.0
2018-01-24,83680.0,80679.0,80679.0,83680.0,5503700.0,83680.0
2018-01-25,83680.0,80679.0,80679.0,83680.0,0.0,83680.0
2018-01-26,85531.0,83680.0,83680.0,85531.0,5410600.0,85531.0
2018-01-29,85531.0,84341.0,85531.0,84698.0,3889600.0,84698.0
2018-01-30,84697.0,83804.0,84697.0,84482.0,3566000.0,84482.0
2018-01-31,86213.0,84484.0,84485.0,84913.0,4233500.0,84913.0
2018-02-01,86028.0,84833.0,84913.0,85495.0,4085300.0,85495.0
2018-02-02,85495.0,83831.0,85495.0,84041.0,3376900.0,84041.0
2018-02-05,84311.0,81861.0,84040.0,81861.0,3253600.0,81861.0
2018-02-06,84162.0,80804.0,81857.0,83894.0,5599100.0,83894.0
2018-02-07,84410.0,82548.0,83894.0,82767.0,3886000.0,82767.0
2018-02-08,83501.0,81109.0,82773.0,81533.0,4011400.0,81533.0
2018-02-09,81897.0,79690.0,81532.0,80899.0,4283400.0,80899.0
2018-02-15,84686.0,83551.0,83551.0,84291.0,3489300.0,84291.0
2018-02-16,84575.0,83824.0,84291.0,84525.0,3475800.0,84525.0
2018-02-19,84956.0,84525.0,84525.0,84793.0,2088900.0,84793.0
2018-02-20,86290.0,84261.0,84792.0,85804.0,4078100.0,85804.0
2018-02-21,87358.0,85804.0,85804.0,86052.0,4815500.0,86052.0
2018-02-22,87159.0,86050.0,86050.0,86686.0,3535700.0,86686.0
2018-02-23,87345.0,86138.0,86690.0,87293.0,4178600.0,87293.0
2018-02-26,88318.0,87242.0,87296.0,87653.0,4047100.0,87653.0
2018-02-27,87839.0,86613.0,87649.0,86935.0,3534700.0,86935.0
2018-02-28,87109.0,85431.0,86939.0,85481.0,5947100.0,85481.0
2018-03-01,86260.0,84640.0,85337.0,85378.0,4341300.0,85378.0
2018-03-02,85761.0,83897.0,85378.0,85761.0,3884300.0,85761.0
2018-03-05,86165.0,85053.0,85292.0,86023.0,3425200.0,86023.0
2018-03-06,86931.0,85653.0,86023.0,85653.0,3608600.0,85653.0
2018-03-07,85653.0,84397.0,85653.0,85484.0,3456800.0,85484.0
2018-03-08,85830.0,84491.0,85510.0,84985.0,3694700.0,84985.0
2018-03-09,86389.0,84749.0,84987.0,86371.0,3481500.0,86371.0
2018-03-12,87046.0,86386.0,86386.0,86900.0,2602900.0,86900.0
